week,week_label,week_start,week_end,title,authors,abstract,published,source,journal,volume,issue,relevance_score,matched_keywords,url,pmid,doi
week_1,Week 1 (2025-09-09 to 2025-09-15),2025-09-09 00:00:00,2025-09-15 00:00:00,Therapeutic and clinical potential of thiolutin microneedles on Alzheimer's disease mitigation.,"Ghulam Jilany Khan, Aqsa Maimoona Malik","The long-term malfunctioning of brain in older people neurons is known as Alzheimer's disease (Alz-D), the most prevalent form of dementia worldwide. Pathophysiology of Alz-D includes, amyloid plaque, cholinergic neuron loss, choline acetyltransferase reduction, and tau fibrillary tangle progression. Several theories were also developed mainly involving the cerebral cortex and hippocampus, but unfortunately, there is currently no medication that protects or regenerates neurons. Symptoms may include impairment in memory, speech, personality, verbal fluency, and progressive mental failure. Symptoms are managed with a variety of FDA-approved medications; however, researchers are still searching for new molecular targets to treat Alz-D in addition to working on drug development. Clinical trials for the treatment of Alz-D are among the various strategies being tried in the current scenario. Thus, the main purpose of this study was to provide an overview of the key developments in Alz-D, and novel pharmacological therapies. Extensive review of various database, journals, books and websites are explored to select and analyse data based on pathophysiology, aetiology and different medications either approved or undergoing clinical trials, along with special emphasis on novel therapeutic approach; 'thiolutin' safety, efficacy, therapeutic outcomes, mode of action, structure activity relationship and molecular targets. We also emphasized on preparation of microneedle formulation of thiolutin to address its toxicity and to improve its efficacy. By utilizing microneedles nanomedicines and numerous novel approaches, currents study also aims to elucidate recent advancements and treatment options in future medicines.",2025-09-15,PubMed,International journal of pharmaceutics,682,,5.2,"Alzheimer's disease, dementia, amyloid, tau, brain",https://pubmed.ncbi.nlm.nih.gov/40582522/,40582522,10.1016/j.ijpharm.2025.125898
week_1,Week 1 (2025-09-09 to 2025-09-15),2025-09-09 00:00:00,2025-09-15 00:00:00,Predictors of MRI-estimated brain iron deposition in dementia and Parkinson's disease-associated subcortical regions: Genetic and observational analysis in UK Biobank.,"Francesco Casanova, Qu Tian, Daniel S Williamson...","BackgroundBrain iron in specific subcortical regions increases risk of dementia and Parkinson's disease (PD). Genetic and environmental factors affect iron deposition, but underlying mechanisms are unclear.ObjectiveIdentify risk factors and diseases associated with brain iron; assess causality using genetics.Methods41,581 UK Biobank participants had MRI-estimated brain iron (QSM method) in five dementia or PD-associated subcortical regions (caudate, hippocampus, putamen, substantia nigra, thalamus). We investigated common risk factors (including adiposity, blood pressure, health behaviors, inflammation) and diseases observationally, using covariate-adjusted regression models, and genetically, with Mendelian randomization.ResultsParticipants diagnosed with Alzheimer's disease, PD, or other diseases had higher MRI-estimated brain iron. Anemia, osteoporosis, and hyperparathyroidism were associated with lower brain iron. Higher body mass index and blood pressure, smoking history, and self-reported meat consumption, increased brain iron. Hematological parameters, inflammatory and kidney biomarkers, and calcium, were also associated. Genetics support causal effects of depression, type-2 diabetes, and 7 other diseases with increased iron, but not Alzheimer's disease. Evidence supports a causal effect of osteoporosis on lower iron in the substantia nigra. We found causal associations between adiposity and proteins (including IL-6 receptor and transferrin receptor) on subcortical brain iron.ConclusionsWe identified causal effects for liability to type-2 diabetes, depression, and other conditions, on subcortical MRI-estimated brain iron, but not to Alzheimer's disease, supportive of dementia as a consequence of brain iron deposition, not a cause. The role of adiposity reducing interventions on brain iron should be investigated. Relationships between brain iron, osteoporosis, calcium, and hyperparathyroidism warrant further investigation.",2025-09-15,PubMed,Journal of Alzheimer's disease : JAD,,,5.1,"Alzheimer's disease, MRI, dementia, brain",https://pubmed.ncbi.nlm.nih.gov/40953027/,40953027,10.1177/13872877251375432
week_1,Week 1 (2025-09-09 to 2025-09-15),2025-09-09 00:00:00,2025-09-15 00:00:00,Predictive Value of Plasma Biomarkers in Tau-PET Transitions.,"Jonathan Graff-Radford, Jeremy A Syrjanen, Prashanthi Vemuri...",The objective of this study was to determine the predictive value of amyloid-positron emission tomography (PET) versus the plasma ratio of phosphorylated tau at threonine 217 (p-tau217) to non-phosphorylated tau217 (%p-tau217) for tau-PET transitions (T- to T+). The added value of combining plasma amyloid-β 42 and amyloid-β 40 (Aβ42/40) and %p-tau217 into an amyloid probability score (APS2) was also assessed.,2025-09-10,PubMed,Annals of neurology,,,5.1,"PET, amyloid, tau, plasma",https://pubmed.ncbi.nlm.nih.gov/40927954/,40927954,10.1002/ana.78003
week_1,Week 1 (2025-09-09 to 2025-09-15),2025-09-09 00:00:00,2025-09-15 00:00:00,Heightened effector immune cell infiltration of the hippocampus concurrently with brain ventricular volume expansion in aged APP/PS1 mice.,"Mark A Maynes, Carley A Owens, Delaney M Anani-Wolf...","Alzheimer's disease (AD) is the most common form of dementia for which the role of neuroinflammation is becoming more realized. Recent studies have shown that immune cells infiltrate the hippocampus and the cortex of AD patients as well as mouse models of the disease. In this study, we employed T2-weighted magnetic resonance imaging (MRI) to view changes in ventricular volume in addition to spectral flow cytometric assessment of the hippocampus infiltrating immune profile in the aged APP/PS1 mice. Aged APP/PS1 mice present with increased size of lateral, dorsal, and ventral ventricles plus increased numbers of hippocampus infiltrating effector immune cell subsets, including CD8 T cells expressing IFNγ, granzyme B, and perforin along with other cell types such as γδ T cells, neutrophils, and NK cells. The concurrent increase in effector cell types with ventricular enlargement expands the putative mechanism of brain atrophy in the APP/PS1 mouse model to include cytolytic functions of these aforementioned immune cell subsets.",2025-09-15,PubMed,Journal of neuroimmunology,406,,4.7,"Alzheimer's disease, MRI, dementia, brain",https://pubmed.ncbi.nlm.nih.gov/40449343/,40449343,10.1016/j.jneuroim.2025.578646
week_1,Week 1 (2025-09-09 to 2025-09-15),2025-09-09 00:00:00,2025-09-15 00:00:00,FDG PET Findings in Rare Brain Sodium Channelopathy Associated with SCN2A Gene Mutation.,"Nikhil Seniaray, Ritu Verma, Praveen Kumar...","SCN2A gene mutations, which affect the function of the voltage-gated sodium channel NaV1.2, are associated with a spectrum of neurological disorders, including epileptic encephalopathies and autism spectrum disorders. Advanced imaging modalities such as magnetic resonance imaging (MRI) and positron emission tomography (PET) have been instrumental in elucidating the neuroanatomic and functional alterations associated with these mutations.",2025-09-10,PubMed,Clinical nuclear medicine,,,4.4,"PET, MRI, brain",https://pubmed.ncbi.nlm.nih.gov/40929566/,40929566,10.1097/RLU.0000000000006110
week_1,Week 1 (2025-09-09 to 2025-09-15),2025-09-09 00:00:00,2025-09-15 00:00:00,"Deciphering Alzheimer's disease: Molecular mechanisms, preclinical models and strategies to overcome Blood-Brain-Barrier.","Dar Junaid Bashir, Khursheed Ahmad Bhat, Masarat Bashir","Neurodegenerative diseases involve a spectrum of diseases, with Alzheimer's being the most prevalent one. Alzheimer's disease (AD) is a progressive neurodegenerative disorder marked by cognitive decline, memory loss, and synaptic dysfunction. Despite extensive research, effective therapeutic interventions remain limited, largely due to the complex molecular underpinnings of the disease and the challenge posed by the blood-brain barrier (BBB). This review explores the critical molecular mechanisms implicated in AD pathogenesis, i.e. disruption of cholinergic neurotransmission, aggregation of β-amyloid fragments, tau protein phosphorylation, and oxidative stress. As the establishment of effective treatments remains a major research goal, the present review further gives an insight into the various preclinical in vivo models like chemical, lesion-induced, beta-amyloid, streptozotocin infusion, and transgenic models that have been instrumental in advancing our understanding of disease progression and testing potential treatments. A significant focus is given to emerging strategies designed to circumvent or modulate the BBB, including nanoparticle-based delivery systems, receptor-mediated transport, and focused ultrasound techniques. By integrating insights from molecular biology, experimental modeling, and drug delivery science, this work aims to highlight current challenges and propose comprehensive strategies for improving the diagnosis and treatment of Alzheimer's disease.",2025-09-15,PubMed,Brain research,1863,,4.4,"Alzheimer's disease, amyloid, tau, brain",https://pubmed.ncbi.nlm.nih.gov/40645537/,40645537,10.1016/j.brainres.2025.149828
week_1,Week 1 (2025-09-09 to 2025-09-15),2025-09-09 00:00:00,2025-09-15 00:00:00,"Coupling CZE, Liquid-Phase Ion Mobility, to MS/MS for Quantitative Top-Down Proteomics: Revealing Significant Proteoform Differences Between Healthy and Alzheimer's Disease Brains.","Mehrdad Falamarzi Askarani, Fei Fang, Scott E Counts...","Alzheimer's disease (AD) is a neurodegenerative disorder characterized by cognitive decline and pathological protein aggregation. Comprehensive quantitative proteomics of brain tissues from AD patients is critical for pursuing a better understanding of the molecular mechanisms that drive AD progression. Here, we present one of the first quantitative top-down proteomics (TDP) studies of postmortem cortex samples from AD patients and healthy controls to profile their proteoform differences by coupling capillary zone electrophoresis (CZE, liquid-phase ion mobility) to tandem mass spectrometry (MS/MS). We identified 3191 unique proteoforms and uncovered a drastic transformation in the proteoform profile in AD compared to healthy controls. Over 2200 proteoforms were exclusively identified in either AD or healthy control samples, and 157 proteoforms identified in both AD and control samples showed statistically significant abundance differences between the two conditions. Gene Ontology and pathway analysis of the genes associated with those proteoforms revealed broad changes in biological processes in AD brains, for example, telomere organization, substantia nigra development, amyloid fibril formation, microtubule cytoskeleton organization, progressive neurological disorders, long-term synaptic potentiation, and axogenesis. These biological processes are highly associated with the development of AD. Our study revealed a pool of potential novel proteoform biomarkers of AD in human brain samples for early diagnosis and therapy development. SUMMARY: Alzheimer's disease (AD) is a chronic neurodegenerative disease, destroying brain cells and causing thinking ability and memory to decline over time. Proteins (e.g., amyloid and tau) play key roles in the development of AD. Global and accurate protein measurement of human brains of AD patients and healthy controls will shed new light on the molecular mechanisms driving AD progression and discover new biomarkers for AD diagnosis and therapeutic development. Here, we performed the first CZE-MS/MS-based quantitative top-down proteomics (TDP) of a small cohort of AD human brain samples and healthy controls (5 AD and 5 control) to determine the differentially quantified proteoforms between the two health conditions. Over 3000 proteoforms were identified, and only about 700 proteoforms were detected in both conditions, indicating drastically different proteoform profiles between the two conditions. The differentially quantified proteoforms (e.g., tau, neurogranin, and calmodulin-1 proteoforms) are associated with biological processes relevant to AD development, for example, amyloid fibril formation, microtubule disruption, synaptic transmission, and axogenesis. The results offer a deep view of the proteoform transformation in the AD human brain compared to the healthy control, providing potential proteoform biomarkers for AD diagnosis and proteoform targets for therapeutic development.",2025-09-14,PubMed,Proteomics,,,4.4,"Alzheimer's disease, amyloid, tau, brain",https://pubmed.ncbi.nlm.nih.gov/40947636/,40947636,10.1002/pmic.70041
week_1,Week 1 (2025-09-09 to 2025-09-15),2025-09-09 00:00:00,2025-09-15 00:00:00,"A Phase I, Randomized, Double-Blind, Placebo-Controlled Trial of Intracisternal Engineered Autologous Exosomes (NV-101) to Restore Neuronal Proteostasis in Early Alzheimer's Disease: The RESTORE Protocol","Iqbal, M.","BackgroundThe current therapeutic landscape for Alzheimers disease (AD) offers limited efficacy. The failure of the neuronal proteostasis network a system critical for preventing toxic protein aggregation is a fundamental pathological process in AD. Molecular chaperones, which are deficient in the AD brain, represent a compelling therapeutic target. A major obstacle has been delivering large biologics like chaperones across the blood-brain barrier. Engineered exosomes offer a promising platform for neuron-specific delivery of nucleic acid cargo.

ObjectiveThe primary objective is to evaluate the safety and tolerability of a single intracisternal dose of NV-101, an autologous dendritic cell-derived exosome engineered with neuron-targeting peptides and DNAJB6 mRNA, compared to placebo in participants with early AD. Secondary objectives are to assess its biological activity through cerebrospinal fluid (CSF) biomarkers.

MethodsThe RESTORE trial is a single-center, randomized, double-blind, placebo-controlled, dose-escalation study. Eighteen participants with biomarker-confirmed early AD will be enrolled across three sequential dose cohorts (Low, Medium, High). Participants will be randomized in a 2:1 ratio to receive either NV-101 or placebo (excipient buffer) via a single intracisternal magna injection. The primary outcome is the incidence of treatment-emergent adverse events over 52 weeks. Secondary outcomes include change from baseline in CSF levels of DNAJB6 protein, oligomeric amyloid-{beta}42, and phosphorylated tau (p-tau181). Exploratory outcomes include neuroimaging and cognitive measures.

ConclusionsThis first-in-human study will generate critical safety and initial proof-of-mechanism data for a novel therapeutic strategy aimed at correcting proteostatic failure in AD.",2025-09-09,Medrxiv,,,,4.2,"Alzheimer's disease, amyloid, tau, brain",https://doi.org/10.1101/2025.09.04.25335118,,10.1101/2025.09.04.25335118
week_1,Week 1 (2025-09-09 to 2025-09-15),2025-09-09 00:00:00,2025-09-15 00:00:00,Ex vivo human brain volumetry: Validation of MRI measurements.,"Amy Gérin-Lajoie, Walter Adame-Gonzalez, Eve-Marie Frigon...","The volume of in vivo human brains is determined with various MRI measurement tools that have not been assessed against a gold standard. The purpose of this study was to validate the MRI brain volumes by scanning ex vivo, in situ specimens, which allows the extraction of the brain after the scan to compare its volume with the gold-standard water displacement method (WDM).",2025-09-12,PubMed,Magnetic resonance in medicine,,,4.2,"MRI, brain",https://pubmed.ncbi.nlm.nih.gov/40937565/,40937565,10.1002/mrm.70083
week_1,Week 1 (2025-09-09 to 2025-09-15),2025-09-09 00:00:00,2025-09-15 00:00:00,Repeatability of diffusion-weighted arterial spin labeling MRI for mapping blood-brain barrier water exchange rate at different postlabel delays.,"Yufei D Zhu, Quimby N Lee, Xingfeng Shao...",This study sought to determine the intrasession repeatability of the diffusion-weighted (DW) arterial spin labeling (ASL) sequence at different postlabel delays (PLDs).,2025-09-10,PubMed,Magnetic resonance in medicine,,,4.2,"MRI, brain",https://pubmed.ncbi.nlm.nih.gov/40931544/,40931544,10.1002/mrm.70081
week_2,Week 2 (2025-09-02 to 2025-09-08),2025-09-02 00:00:00,2025-09-08 00:00:00,The role of brain MR and FDG-PET in the diagnosis of neurodegenerative disease.,"Yoshimi Anzai, Satoshi Minoshima","Alzheimer disease (AD) is the most common dementing disorder, affecting 55 million people worldwide. Brain MRI plays an integral role in the diagnostic evaluation of patients with cognitive symptoms. When interpreting brain MRI for cognitive impairment, radiologists should assess the following four key features: (1) white matter ischemic burden, (2) structural changes to suggest normal pressure hydrocephalus, (3) locoregional pattern of brain atrophy, and (4) presence of microhemorrhage or superficial siderosis, particularly for determining eligibility for anti-amyloid monoclonal antibody (MAB) treatment when appropriate. The recent approval and clinical adoption of anti-amyloid MAB expanded the role of neuroradiologists in evaluating eligibility and monitoring ARIA (amyloid-related imaging abnormality) among patients receiving anti-amyloid MAB. This advancement underscores the importance of standardized imaging protocols and effective communication between neuroradiologists and cognitive neurologists. Depending on the severity of ARIA and patients' symptoms, treatment may need to be suspended or discontinued. This review article explores brain MRI and FDG-PET/CT imaging abnormalities in patients with major cognitive and movement disorders associated with dementia. It aims to assist radiologists in providing differential diagnoses within a clinical context. Finally, the article emphasizes the importance of recognizing co-pathologies, since patients may have more than one neurodegenerative disease rather than viewing these neurodegenerative diseases as being mutually exclusive. KEY POINTS: Question Traditional regional patterns of brain atrophy on MRI by neuroradiologists may not be effective given the recent advances in understanding of neurodegenerative disease and recognition of co-pathologies. Findings The locoregional atrophy and the patterns of metabolic abnormality help in the differential diagnosis of neurodegenerative disease. Remember that brain MRI determines eligibility for anti-amyloid immunotherapy. Clinical relevance Understanding clinical history is vital for interpreting brain MRI for patients with cognitive impairment or memory loss. Newly recognized entities such as limbic-predominant age-related TDP43 encephalopathy (LATE) can mimic Alzheimer disease among extremely elderly patients with amnestic symptoms with mesial temporal lobe atrophy.",2025-09-03,PubMed,European radiology,,,11.5,"PET, MRI, dementia, amyloid, brain",https://pubmed.ncbi.nlm.nih.gov/40903623/,40903623,10.1007/s00330-025-11940-3
